CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF
C0004096,A0027339,AT100259356,,MSH,"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).",N,
C0004096,A7568911,AT197954761,,NCI,A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.,N,
C0004096,A7568911,AT197979559,,NCI_NCI-GLOSS,"A chronic disease in which the bronchial airways in the lungs become narrowed and swollen, making it difficult to breathe. Symptoms include wheezing, coughing, tightness in the chest, shortness of breath, and rapid breathing. An attack may be brought on by pet hair, dust, smoke, pollen, mold, exercise, cold air, or stress.",N,
C0004096,A24682200,AT206283395,,HPO,"Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing. [HPO:probinson]",N,
C0004096,A7568911,AT210366045,,NCI_NICHD,"A chronic respiratory disease caused by obstruction of the bronchi and small airways, and characterized by wheezing and shortness of breath.",N,
C0004096,A21143704,AT220107105,,MEDLINEPLUS,"<p>Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma, the inside walls of your airways become sore and swollen. That makes them very sensitive, and they may react strongly to things that you are <a href='https://medlineplus.gov/allergy.html'>allergic</a> to or find irritating. When your airways react, they get narrower and your lungs get less air.</p> <p>Symptoms of asthma include</p> <ul> <li>Wheezing</li> <li>Coughing, especially early in the morning or at night</li> <li>Chest tightness</li> <li>Shortness of breath</li> </ul> <p>Not all people who have asthma have these symptoms. Having these symptoms doesn't always mean that you have asthma. Your doctor will diagnose asthma based on lung function tests, your medical history, and a physical exam. You may also have allergy tests.</p> <p>When your asthma symptoms become worse than usual, it's called an asthma attack. Severe asthma attacks may require emergency care, and they can be fatal.</p> <p>Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,
C0004096,A0474097,AT51224101,,CSP,"form of bronchial disorder associated with airway obstruction, marked by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi.",N,
C0005586,A21145301,AT220106444,,MEDLINEPLUS,"<p>Bipolar disorder is a serious mental illness. People who have it go through unusual mood changes. They go from very happy, up"," and active to very sad and hopeless, down"," and inactive, and then back again. They often have normal moods in between. The up feeling is called mania. The down feeling is <a href='https://medlineplus.gov/depression.html'>depression</a>.</p> <p>The causes of bipolar disorder aren't always clear. It runs in families. Abnormal brain structure and function may also play a role.</p> <p>Bipolar disorder often starts in a person's late teen or early adult years. But children and adults can have bipolar disorder too. The illness usually lasts a lifetime.</p> <p>If you think you may have it, tell your health care provider. A medical checkup can rule out other illnesses that might cause your mood changes.</p> <p>If not treated, bipolar disorder can lead to damaged relationships, poor job or school performance, and even <a href='https://medlineplus.gov/suicide.html'>suicide</a>. However, there are effective treatments to control symptoms: medicine and talk therapy. A combination usually works best.</p> <p >NIH: National Institute of Mental Health</p>"
C0005586,A7569127,AT230073952,,NCI,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,N,
C0005586,A0031064,AT38150569,,MSH,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,N,
C0010055,A10760486,AT197994635,,NCI_NCI-GLOSS,Surgery in which a healthy blood vessel taken from another part of the body is used to make a new path for blood around a blocked artery leading to the heart. This restores the flow of oxygen and nutrients to the heart.,N,
C0010055,A10760486,AT198142551,,NCI,"Surgery performed to bypass partially or completely occluded coronary arteries, thereby increasing the blood supply of the heart.",N,
C0010055,A10760486,AT205727165,,NCI_CDISC,"A procedure performed to bypass partially or completely occluded coronary arteries with veins and/or arteries harvested from elsewhere in the body, thereby improving the blood supply to the coronary circulation supplying the myocardium (heart muscle).",N,
C0010055,A21143757,AT220107242,,MEDLINEPLUS,"<p>In <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary artery disease</a> (CAD), the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. You may try treatments such as lifestyle changes, medicines, and <a href='https://medlineplus.gov/angioplasty.html'>angioplasty</a>, a procedure to open the arteries. If these treatments don't help, you may need coronary artery bypass surgery.</p> <p>The surgery creates a new path for blood to flow to the heart. The surgeon takes a healthy piece of vein from the leg or artery from the chest or wrist. Then the surgeon attaches it to the coronary artery, just above and below the narrowed area or blockage. This allows blood to bypass (get around) the blockage. Sometimes people need more than one bypass.</p> <p>The results of the surgery usually are excellent. Many people remain symptom-free for many years. You may need surgery again if blockages form in the grafted arteries or veins or in arteries that weren't blocked before. Lifestyle changes and medicines may help prevent arteries from becoming clogged again.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,
C0010055,A0042903,AT38150604,,MSH,"Surgical therapy of ischemic coronary artery disease achieved by grafting a section of saphenous vein, internal mammary artery, or other substitute between the aorta and the obstructed coronary artery distal to the obstructive lesion.",N,
C0010055,A0476725,AT51218756,,CSP,"surgical procedure creating a bridge between the ascending aorta and one or more of the three major coronary arteries, distal to an obstructive lesion, using autologous tissue transplanted from the saphenous vein.",N,
C0011570,A7569991,AT197967329,,NCI,A melancholy feeling of sadness and despair.,N,
C0011570,A7569991,AT198078672,,NCI_NCI-GLOSS,"A mental condition marked by ongoing feelings of sadness, despair, loss of energy, and difficulty dealing with normal daily life. Other symptoms of depression include feelings of worthlessness and hopelessness, loss of pleasure in activities, changes in eating or sleeping habits, and thoughts of death or suicide. Depression can affect anyone, and can be successfully treated. Depression affects 15-25% of cancer patients.",N,
C0011570,A7569991,AT198128024,,NCI_CTCAE,A disorder characterized by melancholic feelings of grief or unhappiness.,N,
C0011570,A21142605,AT220102297,,MEDLINEPLUS,"<p>Depression is a serious medical illness. It's more than just a feeling of being sad or blue"" for a few days. If you are one of the more than 19 million teens and adults in the United States who have depression","the feelings do not go away. They persist and interfere with your everyday life. Symptoms can include</p> <ul> <li>Feeling sad or ""empty""</li> <li>Loss of interest in favorite activities</li> <li>Overeating",or not wanting to eat at all</li> <li>Not being able to sleep
C0011570,A0047119,AT38149345,,MSH,Depressive states usually of moderate intensity in contrast with major depression present in neurotic and psychotic disorders.,N,
C0011570,A0477547,AT51219566,,CSP,"unpleasant, but not necessarily irrational or pathological, mood state characterized by sadness, despair, or discouragement; the blues""; may also involve low self-esteem",social withdrawal,"and somatic symptoms such as eating and sleep disturbance."""
C0011849,A18572274,AT130673334,,CHV,diabetes mellitus,N,
C0011849,A18590933,AT130673335,,CHV,diabetes mellitus,N,
C0011849,A18590934,AT130673336,,CHV,diabetes mellitus,N,
C0011849,A18628065,AT130673337,,CHV,diabetes mellitus,N,
C0011849,A18628066,AT130673338,,CHV,diabetes mellitus,N,
C0011849,A18646728,AT130673339,,CHV,diabetes mellitus,N,
C0011849,A7570023,AT197967334,,NCI,A metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization.,N,
C0011849,A7570023,AT198004766,,NCI_NCI-GLOSS,A disease in which the body does not control the amount of glucose (a type of sugar) in the blood and the kidneys make a large amount of urine. This disease occurs when the body does not make enough insulin or does not use it the way it should.,N,
C0011849,A24672870,AT206298707,,HPO,A group of abnormalities characterized by hyperglycemia and glucose intolerance. [HPO:probinson],N,
C0011849,A21144151,AT220104434,,MEDLINEPLUS,"<p>Diabetes is a disease in which your blood glucose, or <a href='https://medlineplus.gov/bloodsugar.html'>blood sugar</a>, levels are too high. Glucose comes from the foods you eat. Insulin is a hormone that helps the glucose get into your cells to give them energy. With <a href='https://medlineplus.gov/diabetestype1.html'>type 1 diabetes</a>, your body does not make insulin. With <a href='https://medlineplus.gov/diabetestype2.html'>type 2 diabetes</a>, the more common type, your body does not make or use insulin well. Without enough insulin, the glucose stays in your blood. You can also have <a href='https://medlineplus.gov/prediabetes.html'>prediabetes</a>. This means that your blood sugar is higher than normal but not high enough to be called diabetes. Having prediabetes puts you at a higher risk of getting type 2 diabetes.</p> <p>Over time, having too much glucose in your blood can cause <a href='https://medlineplus.gov/diabetescomplications.html'>serious problems</a>. It can damage your <a href='https://medlineplus.gov/diabeticeyeproblems.html'>eyes</a>, <a href='https://medlineplus.gov/diabetickidneyproblems.html'>kidneys</a>, and <a href='https://medlineplus.gov/diabeticnerveproblems.html'>nerves</a>. Diabetes can also cause <a href='https://medlineplus.gov/diabeticheartdisease.html'>heart disease</a>, stroke and even the need to remove a limb. Pregnant women can also get diabetes, called <a href='https://medlineplus.gov/diabetesandpregnancy.html'>gestational diabetes</a>.</p> <p>Blood tests can show if you have diabetes. One type of test, the <a href='https://medlineplus.gov/a1c.html'>A1C</a>, can also check on how you are managing your diabetes. Exercise, weight control and sticking to your <a href='https://medlineplus.gov/diabeticdiet.html'>meal plan</a> can help control your diabetes. You should also monitor your blood glucose level and take <a href='https://medlineplus.gov/diabetesmedicines.html'>medicine</a> if prescribed. </p> <p >NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>",N,
C0011849,A7570023,AT224195318,,NCI_NICHD,"A metabolic condition, characterized by hyperglycemia, caused by insufficient secretion of insulin by the pancreas and/or decreased insulin action in target tissues.",N,
C0011849,A0477662,AT32353659,,CSP,heterogeneous group of disorders that share glucose intolerance in common.,N,
C0011849,A0047877,AT43116029,,MSH,A heterogeneous group of disorders characterized by HYPERGLYCEMIA and GLUCOSE INTOLERANCE.,N,
C0011860,A15569871,AT198090416,,NCI,A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity.,N,
C0011860,A24666814,AT206289120,,HPO,A type of diabetes mellitus initially characterized by insulin resistance and hyperinsulinemia and subsequently by glucose interolerance and hyperglycemia. [HPO:probinson],N,
C0011860,A15569871,AT224189239,,NCI_NICHD,Diabetes mellitus caused by decreased insulin action in target tissues and insufficient production of insulin by pancreatic beta cells.,N,
