CUI1,CUI2
C0004096,C0035228
C0004096,C0024117
C0004096,C0392707
C0004096,C0856716
C0004096,C0236072
C0004096,C0155883
C0004096,C0155879
C0004096,C0155880
C0004096,C0155882
C0004096,C0155878
C0004096,C0155881
C0004096,C0155886
C0004096,C0549336
C0004096,C0347950
C0004096,C0006266
C0004096,C0006277
C0004096,C0033931
C0004096,C0085129
C0004096,C0282556
C0004096,C0694548
C0004096,C0375321
C0004096,C0235906
C0004096,C0043144
C0004096,C0231875
C0004096,C0013404
C0004096,C0553668
C0004096,C0004096
C0004096,C0038218
C0004096,C2984299
C0004096,C0037763
C0004096,C1260881
C0004096,C0035204
C0004096,C0155877
C0004096,C1319018
C0004096,C0004099
C0004096,C1840085
C0004096,C1869116
C0004096,C1969640
C0005586,C0005587
C0005586,C0024713
C0005586,C1269683
C0005586,C0024713
C0005586,C1970943
C0005586,C1970944
C0005586,C1970945
C0005586,C2700438
C0005586,C2700440
C0005586,C0001723
C0005586,C0235852
C0005586,C2937260
C0005586,C0270434
C0005586,C0154420
C0005586,C0154427
C0005586,C0154432
C0005586,C0154433
C0005586,C0011581
C0005586,C0152125
C0005586,C0855233
C0005586,C0154436
C0005586,C0154437
C0005586,C0154393
C0005586,C0338831
C0005586,C0525045
C0005586,C0270458
C0005586,C0233479
C0005586,C0010598
C0005586,C0743072
C0005586,C0678190
C0005586,C0012706
C0005586,C0005587
C0005586,C0004936
C0005586,C0865318
C0005586,C0865319
C0005586,C1839839
C0005586,C1852197
C0010055,C0010054
C0010055,C1956346
C0010055,C0587370
C0010055,C0189695
C0010055,C0010075
C0010055,C0010068
C0010055,C0018821
C0010055,C0581603
C0010055,C0176590
C0010055,C0189976
C0010055,C0151744
C0010055,C0597087
C0010055,C1260596
C0010055,C0021780
C0010055,C0003483
C0010055,C0176589
C0010055,C0161761
C0010055,C0161762
C0010055,C0021781
C0010055,C0032811
C0010055,C0190188
C0010055,C0018787
C0010055,C0190224
C0010055,C0190228
C0010055,C0190232
C0010055,C0190236
C0010055,C0190242
C0010055,C0027056
C0010055,C0190211
C0011570,C0026516
C0011570,C0743072
C0011570,C0541868
C0011570,C0541869
C0011570,C0221074
C0011570,C0154411
C0011570,C0235876
C0011570,C0041696
C0011570,C0154403
C0011570,C0154404
C0011570,C3665435
C0011570,C0154412
C0011570,C0235136
C0011570,C0012706
C0011570,C0338908
C0011570,C0338926
C0011570,C0013987
C0011570,C0235134
C0011570,C0235135
C0011570,C0235196
C0011570,C0868893
C0011570,C0154437
C0011570,C0011573
C0011570,C0025193
C0011570,C0233477
C0011570,C0178417
C0011570,C0011570
C0011570,C1269683
C0011570,C2713234
C0011570,C0003289
C0011570,C0270458
C0011570,C0011579
C0011570,C0344315
C0011570,C0011581
C0011570,C0460137
C0011570,C0349217
C0011570,C0812393
C0011570,C0004936
C0011570,C0001622
C0011570,C0522168
C0011570,C1999266
C0011570,C1579931
C0011570,C0154413
C0011849,C2362516
C0011849,C0554876
C0011849,C0271650
C0011849,C0020456
C0011849,C0362046
C0011849,C0238086
C0011849,C0032969
C0011849,C0235429
C0011849,C0271640
C0011849,C0162574
C0011849,C0011875
C0011849,C0011882
C0011849,C0011878
C0011849,C0021641
C0011849,C0011848
C0011849,C0017628
C0011849,C0014130
C0011849,C0021655
C0011849,C0011880
C0011849,C0085207
C0011849,C0149670
C0011849,C0271633
C0011849,C0152020
C0011849,C0342245
C0011849,C0011854
C0011849,C0028715
C0011849,C0036413
C0011849,C0271646
C0011849,C0235397
C0011849,C0235398
C0011849,C0235399
C0011849,C0241861
C0011849,C0241863
C0011849,C0150544
C0011849,C0267176
C0011849,C0595877
C0011849,C0011860
C0011849,C0202041
C0011849,C0240016
C0011849,C0342269
C0011849,C0262448
C0011849,C0271635
C0011849,C0154183
C0011849,C0011847
C0011849,C0597655
C0011849,C0598284
C0011849,C0595931
C0011849,C0011859
C0011849,C0011884
