CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF
C0004096,ENG,P,L0004096,PF,S0016440,N,A0027330,NULL,NULL,NULL,CCS,MD,8.3,Asthma,0,N,256
C0004096,ENG,P,L0004096,PF,S0016440,N,A0027331,NULL,NULL,NULL,CCS,SD,128,Asthma,0,N,256
C0004096,ENG,P,L0004096,PF,S0016440,N,A0027335,NULL,NULL,NULL,ICPC,PT,R96,Asthma,0,N,256
C0004096,ENG,P,L0004096,PF,S0016440,N,A0027337,NULL,NULL,NULL,LCH,PT,U000405,Asthma,0,N,256
C0004096,ENG,P,L0004096,PF,S0016440,N,A0027339,NULL,M0001885,D001249,MSH,MH,D001249,Asthma,0,N,256
C0004096,ENG,P,L0004096,VO,S0016445,Y,A0027347,NULL,M0001885,D001249,MSH,PM,D001249,Asthmas,0,N,256
C0004096,ENG,S,L0004097,VC,S0226131,Y,A0248026,NULL,NULL,NULL,CST,GT,ASTHMA,"ASTHMA BRONCHIAL",0,N,NULL
C0004096,ENG,P,L0004096,VC,S0353411,N,A0387011,NULL,NULL,NULL,COSTAR,PT,080,ASTHMA,0,N,256
C0004096,ENG,P,L0004096,VC,S0353411,N,A0387012,NULL,NULL,NULL,CST,PT,ASTHMA,ASTHMA,0,N,256
C0004096,ENG,P,L0004096,VC,S0353411,Y,A0387013,NULL,NULL,NULL,DXP,FI,U000273,ASTHMA,0,N,256
C0004096,ENG,S,L0004097,VC,S0353413,Y,A0387018,NULL,NULL,NULL,DXP,DI,U000171,"ASTHMA, BRONCHIAL",0,N,256
C0004096,ENG,P,L0004096,VC,S0415202,N,A0474095,NULL,NULL,NULL,AOD,DE,0000005951,asthma,0,N,256
C0004096,ENG,P,L0004096,VC,S0415202,N,A0474097,NULL,NULL,1525-2157,CSP,PT,1525-2157,asthma,0,N,256
C0004096,ENG,S,L0004097,VCW,S0815167,Y,A0874654,NULL,NULL,NULL,QMR,PT,R0121533,"BRONCHIAL ASTHMA",0,N,256
C0004096,ENG,S,L0004097,VCW,S0605251,N,A11956074,NULL,NULL,MTHU005153,OMIM,PTCS,MTHU005153,"Bronchial asthma",0,N,256
