CUI,STR
C0035228,"Hypersensitivities, Respiratory"
C0035228,Respiratory Hypersensitivities
C0035228,Respiratory Hypersensitivity
C0035228,respiratory hypersensitivity
C0035228,Respiratory Hypersensitivity [Disease/Finding]
C0035228,"Hypersensitivity, Respiratory"
C0035228,"Hyper-Responsiveness, Airway"
C0035228,Airway Hyper Responsiveness
C0035228,Airway Hyper-Responsiveness
C0024117,CHRONIC OBSTRUCTIVE LUNG DISEASE
C0024117,COPD
C0024117,"Pulmonary Disease, Chronic Obstructive"
C0024117,CHRONIC OBSTRUCTIVE PULMONARY DISEASE
C0024117,HYPERACTIVE AIRWAY DISEASE
C0024117,chronic obstructive pulmonary disease
C0024117,Chronic Obstructive Airway Disease
C0024117,Chronic Obstructive Pulmonary Disease
C0024117,Chronic Obstructive Lung Disease
C0024117,Chronic Obstructive Airways Disease
C0024117,Chronic obstructive pulmonary disease
C0024117,CHRONIC OBSTRUCTIVE LUNG DIS
C0024117,PULM DIS CHRONIC OBSTRUCTIVE
C0024117,CHRONIC OBSTRUCTIVE PULM DIS
C0024117,CHRONIC OBSTRUCTIVE AIRWAY DIS
C0024117,small airways disease
C0024117,COLD (chronic obstructive lung disease)
C0024117,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE"
C0024117,chronic obstructive lung disease
C0024117,Chronic Obstructive Pulmonary Disease (COPD)
C0024117,COLD
C0024117,"Pulmonary Disease, Chronic Obstructive [Disease/Finding]"
C0024117,COAD
C0024117,Chronic obstructive lung disease
C0024117,airways diseases small
C0024117,chronic airflow limitation
C0024117,chronic obstructive pulmonary disease (COPD)
C0024117,chronic airways disease
C0024117,coad
C0024117,small airway disease
C0024117,chronic airway disease
C0024117,airway small disease
C0024117,Chronic obstructive airway disease
C0024117,"Obstructive Pulmonary Disease (COPD), Chronic"
C0024117,"COPD, Chronic Obstructive Pulmonary Disease"
C0024117,"Pulmonary Disease (COPD), Chronic Obstructive"
C0024117,"Chronic Obstructive Pulmonary Disease, (COPD)"
C0024117,"Disease (COPD), Chronic Obstructive"
C0024117,Chronic airway obstruction; not otherwise specified
C0024117,Chronic obstructive pulmonary disease NOS
C0024117,COPD NOS
C0392707,ATOPY
C0392707,atopy
C0392707,Atopy
C0392707,atopic reactions
C0392707,atopic allergy
C0392707,allergies atopic
C0392707,allergy atopic
C0392707,atopic
C0392707,atopic diathesis
C0392707,Atopic Allergy
C0856716,aspirin asthma
C0856716,asthma aspirin
C0236072,bronchospasm paradoxical
C0236072,paradoxical bronchospasm
C0155883,Chronic obstructive asthma
C0155883,Chronic Obstructive Asthma
C0155879,Ext asthma w status asth
C0155879,Extrinsic asthma with status asthmaticus
C0155880,Intrinsic asthma
C0155880,asthma intrinsic
C0155880,nonallergic asthma
C0155880,intrinsic asthma
C0155880,asthma nonallergic
C0155882,Int asthma w status asth
C0155882,Intrinsic asthma with status asthmaticus
C0155878,Extrinsic asthma without mention of status asthmaticus
C0155878,Extrinsic asthma NOS
C0155878,"Extrinsic asthma, unspecified"
C0155881,Intrinsic asthma without mention of status asthmaticus
C0155881,Intrinsic asthma NOS
C0155881,"Intrinsic asthma, unspecified"
