CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF,CNAME,,,,,,,,,,,,,,,,
C0004096,A0027339,AT100259356,NULL,MSH,"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).",N,NULL,Asthma,,,,,,,,,,,,,,,,
C0004096,A7568911,AT197954761,NULL,NCI,A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.,N,NULL,Asthma,,,,,,,,,,,,,,,,
C0004096,A7568911,AT197979559,NULL,NCI_NCI-GLOSS,"A chronic disease in which the bronchial airways in the lungs become narrowed and swollen, making it difficult to breathe. Symptoms include wheezing, coughing, tightness in the chest, shortness of breath, and rapid breathing. An attack may be brought on by pet hair, dust, smoke, pollen, mold, exercise, cold air, or stress.",N,NULL,Asthma,,,,,,,,,,,,,,,,
C0004096,A24682200,AT206283395,NULL,HPO,"Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing. [HPO:probinson]",N,NULL,Asthma,,,,,,,,,,,,,,,,
C0004096,A7568911,AT210366045,NULL,NCI_NICHD,"A chronic respiratory disease caused by obstruction of the bronchi and small airways, and characterized by wheezing and shortness of breath.",N,NULL,Asthma,,,,,,,,,,,,,,,,
C0004096,A21143704,AT220107105,NULL,MEDLINEPLUS,"<p>Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma, the inside walls of your airways become sore and swollen. That makes them very sensitive, and they may react strongly to things that you are <a href='https://medlineplus.gov/allergy.html'>allergic</a> to or find irritating. When your airways react, they get narrower and your lungs get less air.</p> <p>Symptoms of asthma include</p> <ul> <li>Wheezing</li> <li>Coughing, especially early in the morning or at night</li> <li>Chest tightness</li> <li>Shortness of breath</li> </ul> <p>Not all people who have asthma have these symptoms. Having these symptoms doesn't always mean that you have asthma. Your doctor will diagnose asthma based on lung function tests, your medical history, and a physical exam. You may also have allergy tests.</p> <p>When your asthma symptoms become worse than usual, it's called an asthma attack. Severe asthma attacks may require emergency care, and they can be fatal.</p> <p>Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Asthma,,,,,,,,,,,,,,,,
C0004096,A0474097,AT51224101,NULL,CSP,"form of bronchial disorder associated with airway obstruction, marked by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi.",N,NULL,Asthma,,,,,,,,,,,,,,,,
C0005586,A21145301,AT220106444,NULL,MEDLINEPLUS,"<p>Bipolar disorder is a serious mental illness. People who have it go through unusual mood changes. They go from very happy, up"," and active to very sad and hopeless, down"," and inactive, and then back again. They often have normal moods in between. The up feeling is called mania. The down feeling is <a href='https://medlineplus.gov/depression.html'>depression</a>.</p> <p>The causes of bipolar disorder aren't always clear. It runs in families. Abnormal brain structure and function may also play a role.</p> <p>Bipolar disorder often starts in a person's late teen or early adult years. But children and adults can have bipolar disorder too. The illness usually lasts a lifetime.</p> <p>If you think you may have it, tell your health care provider. A medical checkup can rule out other illnesses that might cause your mood changes.</p> <p>If not treated, bipolar disorder can lead to damaged relationships, poor job or school performance, and even <a href='https://medlineplus.gov/suicide.html'>suicide</a>. However, there are effective treatments to control symptoms: medicine and talk therapy. A combination usually works best.</p> <p >NIH: National Institute of Mental Health</p>",Bipolar Disorder,NULL,,,,,,,,,,,,,,,
C0005586,A7569127,AT230073952,NULL,NCI,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,N,NULL,Bipolar Disorder,,,,,,,,,,,,,,,,
C0005586,A0031064,AT38150569,NULL,MSH,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,N,NULL,Bipolar Disorder,,,,,,,,,,,,,,,,
C0010055,A10760486,AT197994635,NULL,NCI_NCI-GLOSS,Surgery in which a healthy blood vessel taken from another part of the body is used to make a new path for blood around a blocked artery leading to the heart. This restores the flow of oxygen and nutrients to the heart.,N,NULL,Coronary Artery Bypass Surgery,,,,,,,,,,,,,,,,
C0010055,A10760486,AT198142551,NULL,NCI,"Surgery performed to bypass partially or completely occluded coronary arteries, thereby increasing the blood supply of the heart.",N,NULL,Coronary Artery Bypass Surgery,,,,,,,,,,,,,,,,
C0010055,A10760486,AT205727165,NULL,NCI_CDISC,"A procedure performed to bypass partially or completely occluded coronary arteries with veins and/or arteries harvested from elsewhere in the body, thereby improving the blood supply to the coronary circulation supplying the myocardium (heart muscle).",N,NULL,Coronary Artery Bypass Surgery,,,,,,,,,,,,,,,,
C0010055,A21143757,AT220107242,NULL,MEDLINEPLUS,"<p>In <a href='https://medlineplus.gov/coronaryarterydisease.html'>coronary artery disease</a> (CAD), the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. You may try treatments such as lifestyle changes, medicines, and <a href='https://medlineplus.gov/angioplasty.html'>angioplasty</a>, a procedure to open the arteries. If these treatments don't help, you may need coronary artery bypass surgery.</p> <p>The surgery creates a new path for blood to flow to the heart. The surgeon takes a healthy piece of vein from the leg or artery from the chest or wrist. Then the surgeon attaches it to the coronary artery, just above and below the narrowed area or blockage. This allows blood to bypass (get around) the blockage. Sometimes people need more than one bypass.</p> <p>The results of the surgery usually are excellent. Many people remain symptom-free for many years. You may need surgery again if blockages form in the grafted arteries or veins or in arteries that weren't blocked before. Lifestyle changes and medicines may help prevent arteries from becoming clogged again.</p> <p >NIH: National Heart, Lung, and Blood Institute</p>",N,NULL,Coronary Artery Bypass Surgery,,,,,,,,,,,,,,,,
C0010055,A0042903,AT38150604,NULL,MSH,"Surgical therapy of ischemic coronary artery disease achieved by grafting a section of saphenous vein, internal mammary artery, or other substitute between the aorta and the obstructed coronary artery distal to the obstructive lesion.",N,NULL,Coronary Artery Bypass Surgery,,,,,,,,,,,,,,,,
C0010055,A0476725,AT51218756,NULL,CSP,"surgical procedure creating a bridge between the ascending aorta and one or more of the three major coronary arteries, distal to an obstructive lesion, using autologous tissue transplanted from the saphenous vein.",N,NULL,Coronary Artery Bypass Surgery,,,,,,,,,,,,,,,,
C0011570,A7569991,AT197967329,NULL,NCI,A melancholy feeling of sadness and despair.,N,NULL,Mental Depression,,,,,,,,,,,,,,,,
C0011570,A7569991,AT198078672,NULL,NCI_NCI-GLOSS,"A mental condition marked by ongoing feelings of sadness, despair, loss of energy, and difficulty dealing with normal daily life. Other symptoms of depression include feelings of worthlessness and hopelessness, loss of pleasure in activities, changes in eating or sleeping habits, and thoughts of death or suicide. Depression can affect anyone, and can be successfully treated. Depression affects 15-25% of cancer patients.",N,NULL,Mental Depression,,,,,,,,,,,,,,,,
C0011570,A7569991,AT198128024,NULL,NCI_CTCAE,A disorder characterized by melancholic feelings of grief or unhappiness.,N,NULL,Mental Depression,,,,,,,,,,,,,,,,
C0011570,A21142605,AT220102297,NULL,MEDLINEPLUS,"<p>Depression is a serious medical illness. It's more than just a feeling of being sad or blue"" for a few days. If you are one of the more than 19 million teens and adults in the United States who have depression","the feelings do not go away. They persist and interfere with your everyday life. Symptoms can include</p> <ul> <li>Feeling sad or ""empty""</li> <li>Loss of interest in favorite activities</li> <li>Overeating",or not wanting to eat at all</li> <li>Not being able to sleep,Mental Depression,irritable,anxious,or guilty</li> <li>Aches or pains,headaches,cramps,or digestive problems</li> <li>Thoughts of death or <a href='https://medlineplus.gov/suicide.html'>suicide</a></li> </ul> <p>Depression is a disorder of the brain. There are a variety of causes,including genetic,biological,environmental,and psychological factors. Depression can happen at any age,but it often begins in teens and young adults. It is much more common in women. Women can also get <a href='https://medlineplus.gov/postpartumdepression.html'>postpartum depression</a> after the birth of a baby. Some people get <a href='https://medlineplus.gov/seasonalaffectivedisorder.html'>seasonal affective disorder</a> in the winter. Depression is one part of <a href='https://medlineplus.gov/bipolardisorder.html'>bipolar disorder</a>.</p> <p>There are effective treatments for depression,including <a href='https://medlineplus.gov/antidepressants.html'>antidepressants</a>,talk therapy,"or both.</p> <p >NIH: National Institute of Mental Health</p>""",N,NULL
C0011570,A0047119,AT38149345,NULL,MSH,Depressive states usually of moderate intensity in contrast with major depression present in neurotic and psychotic disorders.,N,NULL,Mental Depression,,,,,,,,,,,,,,,,
