CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF
C0029586,ENG,S,L6705710,PF,S11069836,Y,A16971764,NULL,NULL,733.99,ICD9CM,AB,733.99,"Bone & cartilage dis NEC",0,Y,NULL
C0029586,ENG,P,L0029586,PF,S0218753,N,A8341782,NULL,NULL,733,ICD9CM,HT,733,"Other disorders of bone and cartilage",0,N,NULL
C0029586,ENG,P,L0029586,PF,S0218753,Y,A8341783,NULL,NULL,733.99,ICD9CM,PT,733.99,"Other disorders of bone and cartilage",0,N,NULL
C0029586,ENG,S,L0185338,PF,S0249942,Y,A8348132,NULL,NULL,733.9,ICD9CM,HT,733.9,"Other and unspecified disorders of bone and cartilage",0,N,NULL
C0150085,ENG,P,L1195512,PF,S1431772,Y,A1391431,NULL,NULL,NULL,AOD,DE,0000004438,"disruption of structural integrity",0,N,256
C0597457,ENG,P,L1022322,VO,S11902707,Y,A18622373,0000119513,0000041740,NULL,CHV,SY,0000041740,"injuries skeletal",0,N,NULL
C0597457,ENG,P,L1022322,PF,S1231814,Y,A18659591,0000156053,0000041740,NULL,CHV,PT,0000041740,"skeletal injury",0,N,256
C0597457,ENG,P,L1022322,PF,S1231814,N,A8256584,NULL,NULL,1583-6892,CSP,ET,1583-6892,"skeletal injury",0,N,256
C3263723,ENG,S,L0021501,VO,S0004702,N,A0011963,NULL,M0023020,D014947,MSH,PM,D014947,Injury,0,N,256
C3263723,ENG,S,L0021501,VO,S0379168,Y,A0422909,NULL,NULL,NULL,COSTAR,PT,421,INJURY,0,N,256
C3263723,ENG,S,L0021501,VO,S0379168,N,A0422910,NULL,NULL,NULL,CST,GT,"INJURY ACCID",INJURY,0,N,256
C3263723,ENG,S,L0021501,VO,S0420609,N,A0481818,NULL,NULL,NULL,AOD,DE,0000000425,injury,0,N,256
C3263723,ENG,S,L0021501,VO,S0420609,Y,A0481819,NULL,NULL,1582-3104,CSP,PT,1582-3104,injury,0,N,256
C3263723,ENG,P,L1022324,VC,S1231816,Y,A1196730,NULL,NULL,NULL,CST,GT,"INJURY ACCID","TRAUMATIC INJURY",0,N,256
C3263723,ENG,S,L6056029,PF,S6939690,Y,A12080354,NULL,M0023020,D014947,MSH,DEV,D014947,INJ,0,Y,NULL
C3263723,ENG,S,L0021501,VO,S0420609,N,A18559323,0000060346,0000018167,NULL,CHV,SY,0000018167,injury,0,N,256
C3263723,ENG,S,L9521498,PF,S11902776,Y,A18614977,0000060348,0000018167,NULL,CHV,PT,0000018167,"injury from an external force",0,N,256
C3263723,ENG,S,L0021501,VC,S0100910,Y,A18652163,0000060344,0000018167,NULL,CHV,SY,0000018167,injuries,0,N,256
C3263723,ENG,P,L1022324,PF,S1642784,Y,A20211987,NULL,NULL,NULL,MTH,PN,NOCODE,"Traumatic injury",0,N,256
C3263723,ENG,S,L0040785,VC,S0426765,Y,A23905061,NULL,C3671,NULL,NCI_NCI-GLOSS,PT,CDR0000454807,trauma,0,N,256
C3263723,ENG,S,L0043187,VC,S0427411,Y,A23911653,NULL,C3671,NULL,NCI_NCI-GLOSS,PT,CDR0000441269,wound,0,N,256
C3263723,ENG,S,L0021501,VO,S0004702,N,A23919688,NULL,C3671,NULL,NCI,SY,NHIS,Injury,0,N,256
C3263723,ENG,P,L1022324,PF,S1642784,N,A24102222,NULL,LA9555-9,NULL,LNC,LA,LA9555-9,"Traumatic injury",0,N,256
C3263723,ENG,S,L0021501,VO,S0004702,N,A24105343,NULL,LA17713-1,NULL,LNC,LA,LA17713-1,Injury,0,N,256
C3263723,ENG,S,L0021501,PF,S0327130,N,A24183292,NULL,NULL,NULL,MEDLINEPLUS,ET,3858,Injuries,0,N,256
C3263723,ENG,S,L0021501,VO,S0004702,N,A24377341,NULL,C3671,NULL,NCI_NICHD,PT,C3671,Injury,0,N,256
C3263723,ENG,S,L0021501,VO,S0004702,N,A24386929,NULL,C3671,NULL,NCI_FDA,PT,2348,Injury,0,N,256
C3263723,ENG,P,L1022324,VC,S1231817,Y,A24390170,NULL,C3671,NULL,NCI_NICHD,SY,C3671,"Traumatic Injury",0,N,256
C3263723,ENG,S,L0043187,PF,S0001793,Y,A7568109,NULL,C3671,NULL,NCI,SY,C3671,Wound,0,N,256
C3263723,ENG,S,L0021501,VO,S0004702,Y,A7568296,NULL,C3671,NULL,NCI,PT,C3671,Injury,0,N,256
C3263723,ENG,S,L0040785,PF,S0095133,Y,A7574216,NULL,C3671,NULL,NCI,SY,C3671,Trauma,0,N,256
C3263723,ENG,S,L0021501,PF,S0327130,Y,A7779005,NULL,M0023020,D014947,MSH,PEP,D014947,Injuries,0,N,256
C0009353,ENG,P,L0009353,VO,S0026500,Y,A0040925,NULL,M0004797,D003100,MSH,PM,D003100,"Colles Fracture",0,N,NULL
C0009353,ENG,P,L0009353,PF,S0026501,N,A0040926,NULL,NULL,NULL,COSTAR,PT,NOCODE,"Colles' Fracture",0,N,256
C0009353,ENG,P,L0009353,PF,S0026501,Y,A0040927,NULL,M0004797,D003100,MSH,MH,D003100,"Colles' Fracture",0,N,256
