CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF
C0020538,ENG,S,L0020538,PF,S0050509,N,A0070973,NULL,NULL,NULL,CCS,MD,7.1,Hypertension,0,N,256
C0020538,ENG,S,L0020538,PF,S0050509,N,A0070976,NULL,NULL,NULL,LCH,PT,U002317,Hypertension,0,N,256
C0020538,ENG,S,L0020538,PF,S0050509,Y,A0070978,NULL,M0010859,D006973,MSH,MH,D006973,Hypertension,0,N,256
C0020538,ENG,S,L0020538,PF,S0050509,N,A0070980,NULL,NULL,NULL,MTH,PT,005,Hypertension,0,N,256
C0020538,ENG,S,L0005827,VC,S0226140,Y,A0248042,NULL,NULL,NULL,CST,GT,HYPERTENS,"BLOOD PRESSURE HIGH",0,N,NULL
C0020538,ENG,S,L0020538,VC,S0376950,N,A0419478,NULL,NULL,NULL,COSTAR,PT,397,HYPERTENSION,0,N,256
C0020538,ENG,S,L0020538,VC,S0376950,N,A0419479,NULL,NULL,NULL,CST,HT,CVHYPERT,HYPERTENSION,0,N,256
C0020538,ENG,S,L0020538,VC,S0376950,N,A0419480,NULL,NULL,NULL,CST,PT,HYPERTENS,HYPERTENSION,0,N,256
C0020538,ENG,S,L0020538,VC,S0376950,Y,A0419481,NULL,NULL,NULL,DXP,FI,U002034,HYPERTENSION,0,N,256
C0020538,ENG,S,L0282609,VCW,S0376952,Y,A0419485,NULL,NULL,NULL,CST,GT,HYPERTENS,"HYPERTENSION ARTERIAL",0,N,NULL
C0020538,ENG,S,L0020538,VC,S0420329,N,A0481365,NULL,NULL,NULL,AOD,NP,0000005280,hypertension,0,N,256
C0020538,ENG,S,L0020538,VC,S0420329,N,A0481367,NULL,NULL,0571-5243,CSP,PT,0571-5243,hypertension,0,N,256
C0020538,ENG,S,L1197030,PF,S7469109,N,A11975349,NULL,NULL,MTHU014957,OMIM,PTCS,MTHU014957,"Systemic hypertension",0,N,256
C0020538,ENG,S,L0020538,PF,S0050509,N,A12023992,NULL,NULL,MTHU002068,OMIM,PTCS,MTHU002068,Hypertension,0,N,256
C0020538,ENG,S,L0005827,VCW,S1344447,N,A1303965,NULL,NULL,NULL,AOD,NP,0000023317,"high blood pressure",0,N,256
C0020538,ENG,S,L0005827,VCW,S1344447,N,A1303967,NULL,NULL,0571-5243,CSP,ET,0571-5243,"high blood pressure",0,N,256
C0020538,ENG,S,L1121707,PF,S1347122,N,A1307145,NULL,NULL,0571-5243,CSP,ET,0571-5243,HTN,0,N,256
C0020538,ENG,S,L0397308,PF,S1347198,Y,A1307240,NULL,NULL,4003-0017,CSP,ET,4003-0017,hyperpiesia,0,N,256
C0020538,ENG,S,L0397307,PF,S1347199,Y,A1307241,NULL,NULL,4003-0017,CSP,ET,4003-0017,hyperpiesis,0,N,256
C0020538,ENG,S,L1195448,PF,S1431655,N,A1391312,NULL,NULL,NULL,AOD,DE,0000005278,"hypertensive disorder",0,N,256
