CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF
C0035243,ENG,P,L0035243,VO,S0052432,Y,A0073506,NULL,M0018919,D012141,MSH,PM,D012141,"Infection, Respiratory Tract",0,N,NULL
C0035243,ENG,P,L0035243,VO,S0082058,Y,A0111438,NULL,M0018919,D012141,MSH,PM,D012141,"Respiratory Tract Infection",0,N,256
C0035243,ENG,P,L0035243,PF,S0082059,Y,A0111439,NULL,M0018919,D012141,MSH,MH,D012141,"Respiratory Tract Infections",0,N,256
C0035243,ENG,S,L0215827,VO,S0289843,Y,A0319935,NULL,NULL,2607-1697,CSP,PT,2607-1697,"respiratory infection",0,N,256
C0035243,ENG,S,L0215827,VO,S0399058,Y,A0451037,NULL,NULL,NULL,DXP,FI,U003362,"RESPIRATORY INFECTION",0,N,256
C0035243,ENG,S,L0215827,VO,S1231474,Y,A1196454,NULL,NULL,NULL,CST,GT,INFECT,"INFECTION RESPIRATORY",0,N,NULL
C0035243,ENG,S,L0215827,VCW,S1784842,N,A11987551,NULL,NULL,MTHU008079,OMIM,PTCS,MTHU008079,"Respiratory infections",0,N,256
C0035243,ENG,S,L6332104,PF,S7241668,Y,A12080149,NULL,M0018919,D012141,MSH,DEV,D012141,"RESPIRATORY TRACT INFECT",0,Y,NULL
C0035243,ENG,S,L6516843,VW,S7603886,Y,A12083755,NULL,M0018919,D012141,MSH,DEV,D012141,"RESPIRATORY INFECT",0,Y,NULL
C0035243,ENG,S,L6516843,PF,S7597390,Y,A12090971,NULL,M0018919,D012141,MSH,DEV,D012141,"INFECT RESPIRATORY",0,Y,NULL
C0035243,ENG,S,L6332104,VW,S7597389,Y,A12094624,NULL,M0018919,D012141,MSH,DEV,D012141,"INFECT RESPIRATORY TRACT",0,Y,NULL
C0035243,ENG,S,L0215827,VCW,S1784842,N,A1740258,NULL,NULL,NULL,CCS,MD,8.1,"Respiratory infections",0,N,256
C0035243,ENG,S,L7657370,PF,S8858489,Y,A17922459,NULL,N0000002603,NULL,NDFRT,FN,N0000002603,"Respiratory Tract Infections [Disease/Finding]",0,N,NULL
C0035243,ENG,P,L0035243,VW,S0052589,N,A18018146,NULL,N0000002603,NULL,NDFRT,SY,N0000002603,"Infections, Respiratory Tract",0,N,NULL
C0035243,ENG,S,L0215827,VW,S0400165,N,A18042231,NULL,N0000002603,NULL,NDFRT,SY,N0000002603,"Respiratory Infections",0,N,256
C0035243,ENG,P,L0035243,PF,S0082059,N,A18042232,NULL,N0000002603,NULL,NDFRT,PT,N0000002603,"Respiratory Tract Infections",0,N,256
C0035243,ENG,S,L0215827,PF,S0380049,N,A18066378,NULL,N0000002603,NULL,NDFRT,SY,N0000002603,"Infections, Respiratory",0,N,NULL
C0035243,ENG,S,L0215827,VCW,S11933598,Y,A18556692,0000037965,0000010770,NULL,CHV,SY,0000010770,"respiratory infections",0,N,256
C0035243,ENG,S,L0215827,VO,S0289843,N,A18612449,0000037964,0000010770,NULL,CHV,SY,0000010770,"respiratory infection",0,N,256
C0035243,ENG,P,L0035243,VO,S11933648,Y,A18630907,0000037966,0000010770,NULL,CHV,SY,0000010770,"respiratory tract infection",0,N,256
C0035243,ENG,S,L1107111,PF,S11933645,Y,A18649586,0000037967,0000010770,NULL,CHV,PT,0000010770,"respiratory tract infection (RTI)",0,N,NULL
C0035243,ENG,P,L0035243,VC,S11933647,Y,A18649587,0000037968,0000010770,NULL,CHV,SY,0000010770,"respiratory tract infections",0,N,256
C0035243,ENG,S,L1383858,PF,S11934952,Y,A18686553,0000037969,0000010770,NULL,CHV,SY,0000010770,rti,0,N,256
C0035243,ENG,S,L0215827,VO,S1642520,N,A23484412,NULL,MTHU026191,NULL,LNC,CN,MTHU026191,"Respiratory infection",0,N,256
