CUI	AUI	ATUI	SATUI	SAB	DEF	SUPPRESS	CVF	cui2								
C0035228	A0488369	AT32350354	NULL	CSP	form of hypersensitivity affecting the respiratory tract.	N	NULL	C0035228								
C0035228	A0111410	AT53896292	NULL	MSH	A form of hypersensitivity affecting the respiratory tract. It includes ASTHMA and RHINITIS, ALLERGIC, SEASONAL.	N	NULL	C0035228								
C0024117	A10760421	AT198017269	NULL	NCI_NCI-GLOSS	A type of lung disease marked by permanent damage to tissues in the lungs, making it hard to breathe. Chronic obstructive pulmonary disease includes chronic bronchitis, in which the bronchi (large air passages) are inflamed and scarred, and emphysema, in which the alveoli (tiny air sacs) are damaged. It develops over many years and is usually caused by cigarette smoking.	N	NULL	C0024117								
C0024117	A10760421	AT198115703	NULL	NCI	A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.	N	NULL	C0024117								
C0024117	A24183307	AT220105859	NULL	MEDLINEPLUS	<p>COPD (chronic obstructive pulmonary disease) makes it hard for you to breathe. The two main types are <a href='https://medlineplus.gov/chronicbronchitis.html'>chronic bronchitis</a> and <a href='https://medlineplus.gov/emphysema.html'>emphysema</a>. The main cause of COPD is long-term exposure to substances that irritate and damage the lungs. This is usually cigarette smoke. Air pollution, chemical fumes, or dust can also cause it.</p> <p>At first, COPD may cause no symptoms or only mild symptoms. As the disease gets worse, symptoms usually become more severe. They include</p> <ul> <li>A cough that produces a lot of mucus</li> <li>Shortness of breath, especially with physical activity</li> <li>Wheezing</li> <li>Chest tightness</li> </ul> <p>Doctors use lung function tests, imaging tests, and blood tests to diagnose COPD. There is no cure. Treatments may relieve symptoms. They include medicines, oxygen therapy, surgery, or a lung transplant. <a href='https://medlineplus.gov/quittingsmoking.html'>Quitting smoking</a> is the most important step you can take to treat COPD. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>	N	NULL	C0024117								
C0024117	A24666862	AT225123238	NULL	HPO	An anomaly that is characterized progressive airflow obstruction that is only partly reversible, inflammation in the airways, and systemic effects or comorbities. [PMID:25943942]	N	NULL	C0024117								
C0024117	A0594783	AT32351267	NULL	CSP	chronic, irreversible obstruction of air flow from the lungs.	N	NULL	C0024117								
C0024117	A0107746	AT38148619	NULL	MSH	A disease of chronic diffuse irreversible airflow obstruction. Subcategories of COPD include CHRONIC BRONCHITIS and PULMONARY EMPHYSEMA.	N	NULL	C0024117								
C0392707	A18624738	AT130671134	NULL	CHV	an allergic reaction with strong family tendencies	N	NULL	C0392707								
C0392707	A7568288	AT197955786	NULL	NCI	A genetic predisposition to form IgE antibodies in response to exposure to allergens and therefore, for the development of immediate (type I) hypersensitivity and atopic conditions, such as allergic rhinitis; bronchial asthma, atopic dermatitis, and food allergy. Mutations of specific alleles on the long arm of chromosome 5 have been associated with higher levels of IL-4 and IgE and are known as IL-4 promoter polymorphisms.	N	NULL	C0392707								
C0392707	A0474146	AT51219235	NULL	CSP	genetic predisposition toward the development of immediate (type I) hypersensitivity reactions against common environmental antigens (atopic allergy); the most common clinical manifestation is allergic rhinitis; bronchial asthmas, atopic dermatitis and food allergy also occur.	N	NULL	C0392707								
C0155883	A7591016	AT198115241	NULL	NCI	Chronic airway obstruction caused by asthma.	N	NULL	C0155883								
C0006266	A7569239	AT198017456	NULL	NCI	Sudden contraction of the smooth muscles of the bronchial wall.	N	NULL	C0006266								
C0006266	A7569239	AT198140605	NULL	NCI_CTCAE	A disorder characterized by a sudden contraction of the smooth muscles of the bronchial wall.	N	NULL	C0006266								
C0006266	A7569239	AT210371844	NULL	NCI_NICHD	A pathologic contraction of the smooth muscle of the bronchial wall.	N	NULL	C0006266								
C0006266	A28255546	AT225121440	NULL	HPO	A spasm (sudden, involuntary constriction) of the bronchioles. []	N	NULL	C0006266								
C0006266	A0475093	AT32351194	NULL	CSP	spasmodic contraction of the smooth muscle of the bronchi.	N	NULL	C0006266								
