CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF
C0002891,A0023703,AT38134704,NULL,MSH,"The mildest form of erythroblastosis fetalis in which anemia is the chief manifestation.",N,NULL
C0004045,A24676942,AT206298174,NULL,HPO,"Respiratory failure in the newborn. [HPO:probinson]",N,NULL
C0004045,A0027126,AT38147540,NULL,MSH,"Respiratory failure in the newborn. (Dorland, 27th ed)",N,NULL
C0004352,A20239706,AT198025471,NULL,NCI,"A disorder characterized by marked impairments in social interaction and communication accompanied by a pattern of repetitive, stereotyped behaviors and activities. Developmental delays in social interaction and language surface prior to age 3 years.",N,NULL
C0004352,A24672841,AT206298681,NULL,HPO,"Autism is a neurodevelopmental disorder characterized by impaired social interaction and communication, and by restricted and repetitive behavior. Autism begins in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual (DSM-IV). [DDD:hvfirth]",N,NULL
C0004352,A0392405,AT208130155,NULL,MSH,"A disorder beginning in childhood. It is marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest. Manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual. (DSM-V)",N,NULL
C0004352,A20239706,AT210375783,NULL,NCI_NICHD,"A neurodevelopmental disorder presenting in early childhood that is characterized by impaired communication, difficulty in social interactions, stereotypic behaviors, and a limited range of interests and activities.",N,NULL
C0004352,A0478229,AT51219745,NULL,CSP,"type of autism characterized by very early detection (< 30 months), social coldness, grossly impaired communication, and bizarre motor responses.",N,NULL
C0004352,A0474209,AT51223103,NULL,CSP,"disorder beginning in childhood marked by the presence of markedly abnormal or impaired development in social interaction and communication and a markedly restricted repertoire of activity and interest; manifestations of the disorder vary greatly depending on the developmental level and chronological age of the individual.",N,NULL
C0005604,A24375942,AT198050649,NULL,NCI,"An injury sustained to a neonate during the birthing process.",N,NULL
C0005604,A24375942,AT210367702,NULL,NCI_NICHD,"Injury to a newborn incurred during labor and delivery.",N,NULL
C0005604,A0031104,AT38149207,NULL,MSH,"Mechanical or anoxic trauma incurred by the infant during labor or delivery.",N,NULL
C0005604,A0474793,AT51224619,NULL,CSP,"mechanical or anoxic trauma incurred by or to the infant during labor or delivery.",N,NULL
C0015544,A0057981,AT141596182,NULL,MSH,"A condition of substandard growth or diminished capacity to maintain normal function.",N,NULL
C0015544,A23885787,AT198002211,NULL,NCI,"A clinical finding indicating less than normal growth in an infant or child, or a state of global decline in an adult.",N,NULL
C0020256,A20243856,AT198087186,NULL,NCI,"Hydrocephalus that is present at birth.",N,NULL
C0020256,A20243856,AT210373874,NULL,NCI_NICHD,"An abnormal accumulation of cerebrospinal fluid within the ventricles of the brain that is present at birth.",N,NULL
