ATUI,AUI,CNAME,CUI,CVF,DEF,SAB,SATUI,SUPPRESS,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 9
AT100259356,A0027339,Asthma,C0004096,,"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).",MSH,,N,,,,,,,,,,,,,,,,
AT197954761,A7568911,Asthma,C0004096,,A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.,NCI,,N,,,,,,,,,,,,,,,,
AT197979559,A7568911,Asthma,C0004096,,"A chronic disease in which the bronchial airways in the lungs become narrowed and swollen, making it difficult to breathe. Symptoms include wheezing, coughing, tightness in the chest, shortness of breath, and rapid breathing. An attack may be brought on by pet hair, dust, smoke, pollen, mold, exercise, cold air, or stress.",NCI_NCI-GLOSS,,N,,,,,,,,,,,,,,,,
AT206283395,A24682200,Asthma,C0004096,,"Asthma is characterized by increased responsiveness of the tracheobronchial tree to multiple stimuli, leading to narrowing of the air passages with resultant dyspnea, cough, and wheezing. [HPO:probinson]",HPO,,N,,,,,,,,,,,,,,,,
AT210366045,A7568911,Asthma,C0004096,,"A chronic respiratory disease caused by obstruction of the bronchi and small airways, and characterized by wheezing and shortness of breath.",NCI_NICHD,,N,,,,,,,,,,,,,,,,
AT220107105,A21143704,Asthma,C0004096,,"<p>Asthma is a chronic disease that affects your airways. Your airways are tubes that carry air in and out of your lungs. If you have asthma, the inside walls of your airways become sore and swollen. That makes them very sensitive, and they may react strongly to things that you are <a href='https://medlineplus.gov/allergy.html'>allergic</a> to or find irritating. When your airways react, they get narrower and your lungs get less air.</p> <p>Symptoms of asthma include</p> <ul> <li>Wheezing</li> <li>Coughing, especially early in the morning or at night</li> <li>Chest tightness</li> <li>Shortness of breath</li> </ul> <p>Not all people who have asthma have these symptoms. Having these symptoms doesn't always mean that you have asthma. Your doctor will diagnose asthma based on lung function tests, your medical history, and a physical exam. You may also have allergy tests.</p> <p>When your asthma symptoms become worse than usual, it's called an asthma attack. Severe asthma attacks may require emergency care, and they can be fatal.</p> <p>Asthma is treated with two kinds of medicines: quick-relief medicines to stop asthma symptoms and long-term control medicines to prevent symptoms. </p> <p >NIH: National Heart, Lung, and Blood Institute</p>",MEDLINEPLUS,,N,,,,,,,,,,,,,,,,
AT51224101,A0474097,Asthma,C0004096,,"form of bronchial disorder associated with airway obstruction, marked by recurrent attacks of paroxysmal dyspnea, with wheezing due to spasmodic contraction of the bronchi.",CSP,,N,,,,,,,,,,,,,,,,
AT220106444,A21145301,Bipolar Disorder,C0005586," and inactive, and then back again. They often have normal moods in between. The up feeling is called mania. The down feeling is <a href='https://medlineplus.gov/depression.html'>depression</a>.</p> <p>The causes of bipolar disorder aren't always clear. It runs in families. Abnormal brain structure and function may also play a role.</p> <p>Bipolar disorder often starts in a person's late teen or early adult years. But children and adults can have bipolar disorder too. The illness usually lasts a lifetime.</p> <p>If you think you may have it, tell your health care provider. A medical checkup can rule out other illnesses that might cause your mood changes.</p> <p>If not treated, bipolar disorder can lead to damaged relationships, poor job or school performance, and even <a href='https://medlineplus.gov/suicide.html'>suicide</a>. However, there are effective treatments to control symptoms: medicine and talk therapy. A combination usually works best.</p> <p >NIH: National Institute of Mental Health</p>","<p>Bipolar disorder is a serious mental illness. People who have it go through unusual mood changes. They go from very happy, up",MEDLINEPLUS,," and active to very sad and hopeless, down",,,,,,,,,,,,,,,,
AT230073952,A7569127,Bipolar Disorder,C0005586,,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,NCI,,N,,,,,,,,,,,,,,,,
AT38150569,A0031064,Bipolar Disorder,C0005586,,A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.,MSH,,N,,,,,,,,,,,,,,,,
