CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF
C0035228,ENG,P,L0035228,VO,S0050484,Y,A0070923,NULL,M0018896,D012130,MSH,PM,D012130,"Hypersensitivities, Respiratory",0,N,NULL
C0035228,ENG,P,L0035228,VO,S0082030,Y,A0111409,NULL,M0018896,D012130,MSH,PM,D012130,"Respiratory Hypersensitivities",0,N,256
C0035228,ENG,P,L0035228,PF,S0082031,Y,A0111410,NULL,M0018896,D012130,MSH,MH,D012130,"Respiratory Hypersensitivity",0,N,256
C0035228,ENG,P,L0035228,VC,S0425101,Y,A0488369,NULL,NULL,1525-1998,CSP,PT,1525-1998,"respiratory hypersensitivity",0,N,256
C0035228,ENG,S,L7678995,PF,S8858473,Y,A17893367,NULL,N0000002598,NULL,NDFRT,FN,N0000002598,"Respiratory Hypersensitivity [Disease/Finding]",0,N,NULL
C0035228,ENG,P,L0035228,PF,S0082031,N,A17965674,NULL,N0000002598,NULL,NDFRT,PT,N0000002598,"Respiratory Hypersensitivity",0,N,256
C0035228,ENG,P,L0035228,VW,S0050495,N,A18061549,NULL,N0000002598,NULL,NDFRT,SY,N0000002598,"Hypersensitivity, Respiratory",0,N,NULL
C0035228,ENG,S,L12169371,VW,S15093932,Y,A24826655,NULL,M0018896,D012130,MSH,PM,D012130,"Hyper-Responsiveness, Airway",0,N,256
C0035228,ENG,S,L12169371,VO,S15091069,Y,A24833658,NULL,M0018896,D012130,MSH,PM,D012130,"Airway Hyper Responsiveness",0,N,NULL
C0035228,ENG,S,L12169371,PF,S15091070,N,A26455105,NULL,N0000002598,NULL,NDFRT,SY,N0000002598,"Airway Hyper-Responsiveness",0,N,256
C0035228,ENG,S,L12169371,PF,S15091070,Y,A26612354,NULL,M0018896,D012130,MSH,ET,D012130,"Airway Hyper-Responsiveness",0,N,256
C0035228,ENG,P,L0035228,VW,S0050495,Y,A26668864,NULL,M0018896,D012130,MSH,ET,D012130,"Hypersensitivity, Respiratory",0,N,NULL
C0024117,ENG,S,L0008703,VC,S0006068,N,A0014988,NULL,NULL,NULL,COSTAR,PT,184,"CHRONIC OBSTRUCTIVE LUNG DISEASE",0,N,256
C0024117,ENG,S,L0008703,VC,S0006068,Y,A0014989,NULL,NULL,NULL,DXP,DI,U000363,"CHRONIC OBSTRUCTIVE LUNG DISEASE",0,N,256
C0024117,ENG,S,L0009966,PF,S0028118,N,A0042707,NULL,NULL,4004-0004,CSP,ET,4004-0004,COPD,0,N,NULL
C0024117,ENG,S,L0009966,PF,S0028118,N,A0042709,NULL,NULL,NULL,DXP,SY,NOCODE,COPD,0,N,NULL
C0024117,ENG,S,L0008704,PF,S0078610,Y,A0107746,NULL,M0384655,D029424,MSH,MH,D029424,"Pulmonary Disease, Chronic Obstructive",0,N,256
C0024117,ENG,S,L0008704,VCW,S0361003,N,A0397630,NULL,NULL,NULL,DXP,SY,NOCODE,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE",0,N,256
C0024117,ENG,S,L0008704,VCW,S0361003,Y,A0397632,NULL,NULL,NULL,MTH,PT,184,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE",0,N,256
C0024117,ENG,S,L0278940,PF,S0376799,Y,A0419217,NULL,NULL,NULL,DXP,SY,NOCODE,"HYPERACTIVE AIRWAY DISEASE",0,N,256
C0024117,ENG,S,L0008704,VCW,S0520559,N,A0594783,NULL,NULL,4004-0004,CSP,PT,4004-0004,"chronic obstructive pulmonary disease",0,N,256
C0024117,ENG,P,L0498186,PF,S0837575,Y,A0896022,NULL,NULL,NULL,MTH,PN,U003398,"Chronic Obstructive Airway Disease",0,N,256
C0024117,ENG,S,L0008704,VW,S0025370,N,A10760421,NULL,C3199,NULL,NCI,PT,C3199,"Chronic Obstructive Pulmonary Disease",0,N,256
C0024117,ENG,S,L0008703,PF,S0837576,N,A10768901,NULL,C3199,NULL,NCI,SY,C3199,"Chronic Obstructive Lung Disease",0,N,256
C0024117,ENG,P,L0498186,VO,S4143169,Y,A10776677,NULL,C3199,NULL,NCI,SY,C3199,"Chronic Obstructive Airways Disease",0,N,256
C0024117,ENG,S,L0008704,VCW,S0618014,N,A12007801,NULL,NULL,MTHU019516,OMIM,PTCS,MTHU019516,"Chronic obstructive pulmonary disease",0,N,256
C0024117,ENG,S,L0543960,PF,S7592045,Y,A12070213,NULL,M0384655,D029424,MSH,DEV,D029424,"CHRONIC OBSTRUCTIVE LUNG DIS",0,Y,NULL
C0024117,ENG,S,L6524153,VW,S7602538,Y,A12077554,NULL,M0384655,D029424,MSH,DEV,D029424,"PULM DIS CHRONIC OBSTRUCTIVE",0,Y,NULL
C0024117,ENG,S,L6524153,PF,S7592046,Y,A12077555,NULL,M0384655,D029424,MSH,DEV,D029424,"CHRONIC OBSTRUCTIVE PULM DIS",0,Y,NULL
C0024117,ENG,S,L6520279,PF,S7592044,Y,A12081190,NULL,M0384655,D029424,MSH,DEV,D029424,"CHRONIC OBSTRUCTIVE AIRWAY DIS",0,Y,NULL
C0024117,ENG,S,L1119684,PF,S1343479,N,A1302845,NULL,NULL,4004-0004,CSP,ET,4004-0004,"small airways disease",0,N,256
C0024117,ENG,S,L0543916,PF,S1345139,Y,A1304786,NULL,NULL,4004-0004,CSP,ET,4004-0004,"COLD (chronic obstructive lung disease)",0,N,NULL
C0024117,ENG,S,L0008704,VC,S8010533,Y,A13290446,NULL,NULL,606963,OMIM,PT,606963,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE",0,N,256
C0024117,ENG,S,L0008703,VC,S1429796,N,A1389421,NULL,NULL,NULL,AOD,DE,0000005461,"chronic obstructive lung disease",0,N,256
C0024117,ENG,S,L0008703,VC,S1429796,Y,A1389422,NULL,NULL,4004-0004,CSP,ET,4004-0004,"chronic obstructive lung disease",0,N,256
C0024117,ENG,S,L0543933,VC,S11571428,Y,A17681526,NULL,C3199,NULL,NCI,SY,C3199,"Chronic Obstructive Pulmonary Disease (COPD)",0,N,NULL
C0024117,ENG,S,L0009264,PF,S0474508,Y,A17684490,NULL,C3199,NULL,NCI,AB,C3199,COLD,0,N,NULL
C0024117,ENG,S,L0008704,VW,S0025370,N,A17896447,NULL,N0000011155,NULL,NDFRT,SY,N0000011155,"Chronic Obstructive Pulmonary Disease",0,N,256
C0024117,ENG,S,L0009966,PF,S0028118,N,A17920810,NULL,N0000011155,NULL,NDFRT,SY,N0000011155,COPD,0,N,NULL
C0024117,ENG,P,L0498186,PF,S0837575,N,A17920811,NULL,N0000011155,NULL,NDFRT,SY,N0000011155,"Chronic Obstructive Airway Disease",0,N,256
C0024117,ENG,S,L0008703,PF,S0837576,N,A17920812,NULL,N0000011155,NULL,NDFRT,SY,N0000011155,"Chronic Obstructive Lung Disease",0,N,256
C0024117,ENG,S,L7661465,PF,S8857336,Y,A17920813,NULL,N0000011155,NULL,NDFRT,FN,N0000011155,"Pulmonary Disease, Chronic Obstructive [Disease/Finding]",0,N,NULL
C0024117,ENG,S,L0008704,PF,S0078610,N,A18016501,NULL,N0000011155,NULL,NDFRT,PT,N0000011155,"Pulmonary Disease, Chronic Obstructive",0,N,256
C0024117,ENG,S,L0787835,PF,S0828908,N,A18040530,NULL,N0000011155,NULL,NDFRT,SY,N0000011155,COAD,0,N,256
C0024117,ENG,S,L0008703,VC,S0618013,Y,A18246335,NULL,LP90123-8,NULL,LNC,LPN,LP90123-8,"Chronic obstructive lung disease",0,N,256
C0024117,ENG,S,L0009966,PF,S0028118,N,A18323667,NULL,LP57616-2,NULL,LNC,LPN,LP57616-2,COPD,0,N,NULL
C0024117,ENG,S,L0008703,VC,S1429796,N,A18555422,0000026632,0000007570,NULL,CHV,SY,0000007570,"chronic obstructive lung disease",0,N,256
C0024117,ENG,S,L1119684,VO,S11846847,Y,A18566753,0000119724,0000041852,NULL,CHV,SY,0000041852,"airways diseases small",0,N,NULL
C0024117,ENG,S,L0008704,VW,S0025370,N,A18573877,0000026633,0000007570,NULL,CHV,SY,0000007570,"Chronic Obstructive Pulmonary Disease",0,N,256
