CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF,cui2
C0035228,NULL,CUI,RB,C0020523,NULL,CUI,NULL,R02671388,NULL,MTH,MTH,NULL,NULL,N,NULL,C0035228
C0035228,NULL,CUI,RN,C0004096,NULL,CUI,NULL,R02877011,NULL,MTH,MTH,NULL,NULL,N,NULL,C0035228
C0035228,NULL,CUI,RN,C0018621,NULL,CUI,NULL,R02877013,NULL,MTH,MTH,NULL,NULL,N,NULL,C0035228
C0035228,NULL,CUI,RN,C0597264,NULL,CUI,NULL,R02877015,NULL,MTH,MTH,NULL,NULL,N,NULL,C0035228
C0035228,NULL,CUI,RN,C0002390,NULL,CUI,NULL,R13409701,NULL,MTH,MTH,NULL,NULL,N,NULL,C0035228
C0035228,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754823,NULL,MTH,MTH,NULL,NULL,N,NULL,C0035228
C0024117,NULL,CUI,RN,C0004096,NULL,CUI,NULL,R02964016,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0006266,NULL,CUI,NULL,R02964017,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RB,C0006261,NULL,CUI,NULL,R146188017,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C1847014,NULL,CUI,NULL,R146188019,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C0013990,NULL,CUI,NULL,R146188023,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RB,C0600260,NULL,CUI,NULL,R146188025,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RB,C0008679,NULL,CUI,NULL,R146188027,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0155874,NULL,CUI,NULL,R146188034,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R146188036,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0029607,NULL,CUI,NULL,R146188042,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C0008677,NULL,CUI,NULL,R146188044,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C1527303,NULL,CUI,NULL,R146188050,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C0597384,NULL,CUI,NULL,R146188052,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C1536056,NULL,CUI,NULL,R146188058,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RB,C0024115,NULL,CUI,NULL,R146188060,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0034067,NULL,CUI,NULL,R146188068,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C0001883,NULL,CUI,NULL,R146188070,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0221227,NULL,CUI,NULL,R146188074,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0264393,NULL,CUI,NULL,R146188076,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C0002390,NULL,CUI,NULL,R146188078,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RB,C0699949,NULL,CUI,NULL,R146188080,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
