CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
C0004096,NULL,CUI,RB,C0035228,NULL,CUI,NULL,R02657996,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RB,C0024117,NULL,CUI,NULL,R02657998,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RB,C0392707,NULL,CUI,NULL,R02657999,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0856716,NULL,CUI,NULL,R02841172,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0236072,NULL,CUI,NULL,R02841175,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155883,NULL,CUI,NULL,R02841176,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155879,NULL,CUI,NULL,R02841179,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155880,NULL,CUI,NULL,R02841180,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155882,NULL,CUI,NULL,R02841181,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155878,NULL,CUI,NULL,R02841182,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155881,NULL,CUI,NULL,R02841183,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155886,NULL,CUI,NULL,R02841184,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0549336,NULL,CUI,NULL,R02841185,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0347950,NULL,CUI,NULL,R02841187,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0006266,NULL,CUI,NULL,R03023284,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0006277,NULL,CUI,NULL,R03023285,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0033931,NULL,CUI,NULL,R03023286,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0085129,NULL,CUI,NULL,R03023287,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0282556,NULL,CUI,NULL,R03023288,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0694548,NULL,CUI,NULL,R03023291,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0375321,NULL,CUI,NULL,R03023292,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0235906,NULL,CUI,NULL,R03023293,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0043144,NULL,CUI,NULL,R03023295,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0231875,NULL,CUI,NULL,R03023297,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0013404,NULL,CUI,NULL,R03023298,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0553668,NULL,CUI,NULL,R03023299,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,A7850156,CUI,RQ,C0004096,A0874654,AUI,clinically_similar,R03688815,NULL,RAM,RAM,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0038218,NULL,CUI,NULL,R101329277,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C2984299,NULL,CUI,NULL,R125059227,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C0037763,NULL,CUI,NULL,R135806298,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C1260881,NULL,CUI,NULL,R146189807,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754799,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0155877,NULL,CUI,NULL,R28755254,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C1319018,NULL,CUI,NULL,R28755348,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RN,C0004099,NULL,CUI,NULL,R28755435,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C1840085,NULL,CUI,NULL,R61793981,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C1869116,NULL,CUI,NULL,R61793989,NULL,MTH,MTH,NULL,NULL,N,NULL
C0004096,NULL,CUI,RO,C1969640,NULL,CUI,NULL,R78261838,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,A12058849,CUI,RQ,C0005587,A0991471,AUI,clinically_similar,R03688822,NULL,RAM,RAM,NULL,NULL,N,NULL
C0005586,A12058849,CUI,RQ,C0024713,A0991472,AUI,clinically_similar,R03688823,NULL,RAM,RAM,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C1269683,NULL,CUI,NULL,R102257269,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0024713,NULL,CUI,NULL,R116655418,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1970943,NULL,CUI,NULL,R155718378,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1970944,NULL,CUI,NULL,R155718380,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1970945,NULL,CUI,NULL,R155718382,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C2700438,NULL,CUI,NULL,R155718384,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C2700440,NULL,CUI,NULL,R155718388,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RB,C0001723,NULL,CUI,NULL,R32251864,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0235852,NULL,CUI,NULL,R32251872,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C2937260,NULL,CUI,NULL,R32251876,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0270434,NULL,CUI,NULL,R32251878,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0154420,NULL,CUI,NULL,R32251880,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0154427,NULL,CUI,NULL,R32251882,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0154432,NULL,CUI,NULL,R32251884,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0154433,NULL,CUI,NULL,R32251886,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0011581,NULL,CUI,NULL,R32251888,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0152125,NULL,CUI,NULL,R32251890,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0855233,NULL,CUI,NULL,R32251892,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0154436,NULL,CUI,NULL,R32251894,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0154437,NULL,CUI,NULL,R32251896,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0154393,NULL,CUI,NULL,R32251898,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0338831,NULL,CUI,NULL,R32251900,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RB,C0525045,NULL,CUI,NULL,R32251905,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0270458,NULL,CUI,NULL,R32251911,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0233479,NULL,CUI,NULL,R32251913,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0010598,NULL,CUI,NULL,R32251915,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0743072,NULL,CUI,NULL,R32251917,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0678190,NULL,CUI,NULL,R32251919,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0012706,NULL,CUI,NULL,R32251921,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0005587,NULL,CUI,NULL,R32251923,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RB,C0004936,NULL,CUI,NULL,R33799843,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0865318,NULL,CUI,NULL,R40893179,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0865319,NULL,CUI,NULL,R40893213,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1839839,NULL,CUI,NULL,R64555691,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1852197,NULL,CUI,NULL,R64555695,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0010054,NULL,CUI,NULL,R112383557,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C1956346,NULL,CUI,NULL,R112383701,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0587370,NULL,CUI,NULL,R170319987,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0189695,NULL,CUI,NULL,R28736965,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0010075,NULL,CUI,NULL,R28736967,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0010068,NULL,CUI,NULL,R28736969,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RB,C0018821,NULL,CUI,NULL,R28736971,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RB,C0581603,NULL,CUI,NULL,R28736973,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0176590,NULL,CUI,NULL,R28736975,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0189976,NULL,CUI,NULL,R28736977,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0151744,NULL,CUI,NULL,R28736979,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0597087,NULL,CUI,NULL,R28736981,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C1260596,NULL,CUI,NULL,R28736991,NULL,MTH,MTH,NULL,NULL,N,NULL
