CUI,AUI,ATUI,SATUI,SAB,DEF,SUPPRESS,CVF
C0003123,A7568779,AT197992165,NULL,NCI,"Loss of appetite.",N,NULL
C0003123,A7568779,AT198016963,NULL,NCI_NCI-GLOSS,"An abnormal loss of the appetite for food. Anorexia can be caused by cancer, AIDS, a mental disorder (i.e., anorexia nervosa), or other diseases.",N,NULL
C0003123,A7568779,AT198103098,NULL,NCI_CTCAE,"A disorder characterized by a loss of appetite.",N,NULL
C0003123,A24677659,AT206298971,NULL,HPO,"A lack or loss of appetite for food (as a medical condition). [HPO:probinson]",N,NULL
C0003123,A7568779,AT210377537,NULL,NCI_NICHD,"Loss of appetite.",N,NULL
C0003123,A0473688,AT51222469,NULL,CSP,"clinical manifestation consisting of a physiopathological lack or loss of appetite accompanied by an aversion to food and the inability to eat.",N,NULL
C0003123,A0024383,AT53896387,NULL,MSH,"The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat. It is the defining characteristic of the disorder ANOREXIA NERVOSA.",N,NULL
C0003280,A18589922,AT130673242,NULL,CHV,"A drug that prevents the clotting of blood.",N,NULL
C0003280,A18608522,AT130673243,NULL,CHV,"A drug that prevents the clotting of blood.",N,NULL
C0003280,A18664231,AT130673244,NULL,CHV,"A drug that prevents the clotting of blood.",N,NULL
C0003280,A18682696,AT130673245,NULL,CHV,"A drug that prevents the clotting of blood.",N,NULL
C0003280,A7665280,AT198016710,NULL,NCI,"Any agent capable of preventing blood clot formation.",N,NULL
C0003280,A7665280,AT198041511,NULL,NCI_NCI-GLOSS,"A substance that is used to prevent and treat blood clots in blood vessels and the heart.",N,NULL
C0003280,A0024834,AT218063932,NULL,MSH,"Agents that prevent BLOOD CLOTTING.",N,NULL
C0003280,A21144487,AT230154677,NULL,MEDLINEPLUS,"<p>Blood thinners are medicines that prevent <a href='https://medlineplus.gov/bloodclots.html'>blood clots</a> from forming. They also keep existing blood clots from getting larger. Clots in your arteries, veins, and heart can cause <a href='https://medlineplus.gov/heartattack.html'>heart attacks</a>, <a href='https://medlineplus.gov/stroke.html'>strokes</a>, and blockages. You may take a blood thinner if you have </p> <ul> <li>Certain <a href='https://medlineplus.gov/heartdiseases.html'>heart</a> or <a href='https://medlineplus.gov/vasculardiseases.html'>blood vessel</a> diseases</li> <li>An abnormal heart rhythm called <a href='https://medlineplus.gov/atrialfibrillation.html'>atrial fibrillation</a></li> <li>A <a href='https://medlineplus.gov/heartvalvediseases.html'>heart valve</a> replacement</li> <li>A risk of blood clots after surgery</li> <li><a href='https://medlineplus.gov/congenitalheartdefects.html'>Congenital heart defects</a></li> </ul> <p>There are two main types of blood thinners. Anticoagulants such as heparin or warfarin (also called Coumadin) slow down your body's process of making clots. Antiplatelet drugs, such as aspirin, prevent blood cells called platelets from clumping together to form a clot.</p> <p>When you take a blood thinner, follow directions carefully. Blood thinners may interact with certain foods, medicines, vitamins, and alcohol. Make sure that your healthcare provider knows all of the medicines and supplements you are using. You will probably need regular blood tests to check how well your blood is clotting. It is important to make sure that you're taking enough medicine to prevent clots, but not so much that it causes bleeding.</p>",N,NULL
C0003280,A0248424,AT51224967,NULL,CSP,"externally administered agents that prevent blood clotting.",N,NULL
